datasets,spl,single_ans,conversations,answer,trg
pe,sample,attack,"It would be unwise to still deny the truth and keep focusing on economic developments and unfortunately, usually the economic developments are even the causes of environmental damages",['attack'],"It would be unwise to still deny the truth and keep focusing on economic developments and unfortunately, usually the economic developments are even the causes of environmental damages"
pe,sample,attack,We can learn a lot from programs at home,['attack'],We can learn a lot from programs at home
pe,sample,attack,I do not think that those people with slower pace losing the piano competition can be really happy,['attack'],I do not think that those people with slower pace losing the piano competition can be really happy
pe,sample,attack,it takes time for people to adapt them,['attack'],it takes time for people to adapt them
pe,sample,attack,"it is quite easy to have a nutritious meal with guaranteed quality, but do not waste a lot of time",['attack'],"it is quite easy to have a nutritious meal with guaranteed quality, but do not waste a lot of time"
pe,sample,attack,life may not be easy; it will have various challenges especially when you take risks,['attack'],life may not be easy; it will have various challenges especially when you take risks
pe,sample,attack,"living in a dormitory, and being surrounded by students also has some advantages, like being able to get help with any academic issues from them",['attack'],"living in a dormitory, and being surrounded by students also has some advantages, like being able to get help with any academic issues from them"
pe,sample,attack,it also has to be affordable for the consumer,['attack'],it also has to be affordable for the consumer
pe,sample,attack,competition is also as important as co-operation,['attack'],competition is also as important as co-operation
pe,sample,attack,The introduction of foreign language will be new to them,['attack'],The introduction of foreign language will be new to them
pe,sample,attack,the computer can show whether an answer to a particular question is right or wrong,['attack'],the computer can show whether an answer to a particular question is right or wrong
pe,sample,attack,these problems can be solved by improving efficiency of the mechanism and reducing emissions,['attack'],these problems can be solved by improving efficiency of the mechanism and reducing emissions
pe,sample,attack,A student is good or not do not depend on whether he has a good teacher but is decided by his effort on study,['attack'],A student is good or not do not depend on whether he has a good teacher but is decided by his effort on study
pe,sample,attack,it would not help them much once they enter to society or company which required more about skill of team work,['attack'],it would not help them much once they enter to society or company which required more about skill of team work
pe,sample,attack,This kind of gender biased approach is detrimental for the development of the society,['attack'],This kind of gender biased approach is detrimental for the development of the society
pe,sample,attack,it has not changed the importance of teachers' role in classes,['attack'],it has not changed the importance of teachers' role in classes
pe,sample,attack,With these solutions fossil fuels seem more sustainable,['attack'],With these solutions fossil fuels seem more sustainable
pe,sample,attack,"if a friend makes very a big mistake, we will need to end a friendship",['attack'],"if a friend makes very a big mistake, we will need to end a friendship"
pe,sample,attack,the exhibits in museums or galleries are all life size and visitors can get a more direct felling,['attack'],the exhibits in museums or galleries are all life size and visitors can get a more direct felling
pe,sample,attack,"By comparison to these issues, the pursuit of art seems unimportant at all",['attack'],"By comparison to these issues, the pursuit of art seems unimportant at all"
pe,sample,attack,it is proved that many kinds of bean such as soy bean or pea are also comparable protein sources,['attack'],it is proved that many kinds of bean such as soy bean or pea are also comparable protein sources
pe,sample,attack,"Some reporters are more interested with gossip than news relating to public issues, paying too much attention to the personal lives of famous people",['attack'],"Some reporters are more interested with gossip than news relating to public issues, paying too much attention to the personal lives of famous people"
pe,sample,attack,this isn't a important reason for ceasing the competitions,['attack'],this isn't a important reason for ceasing the competitions
pe,sample,attack,"even if students believe that they are so brilliant to surpass their professors, they can still go to the classes to discuss with professors and classmates",['attack'],"even if students believe that they are so brilliant to surpass their professors, they can still go to the classes to discuss with professors and classmates"
pe,sample,attack,they could not be substitute of existing classroom learning,['attack'],they could not be substitute of existing classroom learning
pe,sample,attack,people tend to follow the trend back to the tradition in the recent years,['attack'],people tend to follow the trend back to the tradition in the recent years
pe,sample,attack,most students regard the extra knowledge useless and impractical for their future jobs,['attack'],most students regard the extra knowledge useless and impractical for their future jobs
pe,sample,attack,"singers and athletes, in fact, contribute insignificantly to the development of the society",['attack'],"singers and athletes, in fact, contribute insignificantly to the development of the society"
pe,sample,attack,it doesn't mean that children should do it overtime and without being taken care what they are watching,['attack'],it doesn't mean that children should do it overtime and without being taken care what they are watching
pe,sample,attack,privacies are lost with the use of these cameras,['attack'],privacies are lost with the use of these cameras
pe,sample,attack,"the dramatic majority of tourist, particularly those who tend to spending a wealth of time and money locating and visiting rustic villages, are well educated",['attack'],"the dramatic majority of tourist, particularly those who tend to spending a wealth of time and money locating and visiting rustic villages, are well educated"
pe,sample,attack,this is not true if you live in a neighborhood with other people about your age as I did,['attack'],this is not true if you live in a neighborhood with other people about your age as I did
pe,sample,attack,"we, as an average people, might feel that the responsibility to our goal is too heavy to carry on",['attack'],"we, as an average people, might feel that the responsibility to our goal is too heavy to carry on"
pe,sample,attack,they are worth to have good care,['attack'],they are worth to have good care
pe,sample,attack,the truth is that we've been encountering so many sighs and warnings of global climate anomalies and other environmental crisis right now,['attack'],the truth is that we've been encountering so many sighs and warnings of global climate anomalies and other environmental crisis right now
pe,sample,attack,while it does not mean successful,['attack'],while it does not mean successful
pe,sample,attack,"social networks such as Facebook could foster the ties between friends and family members who are obligatorily far away from each other by keeping them in touch, the thing that was impossible less than 20 years ago",['attack'],"social networks such as Facebook could foster the ties between friends and family members who are obligatorily far away from each other by keeping them in touch, the thing that was impossible less than 20 years ago"
pe,sample,attack,it has useful and educational programs and quite helpful to relieve stresses for children,['attack'],it has useful and educational programs and quite helpful to relieve stresses for children
pe,sample,attack,it may take time to keep up with the others if w need to review our work multiple times,['attack'],it may take time to keep up with the others if w need to review our work multiple times
pe,sample,attack,"If the art displays unreality, the public audiences certainly have the acumen to recognise its untruthfulness and only appreciate its art value",['attack'],"If the art displays unreality, the public audiences certainly have the acumen to recognise its untruthfulness and only appreciate its art value"
pe,sample,attack,"aspects such as: friendly colleagues, environment and work-place condition, sometimes, have even more impact on person's happiness and quality of life",['attack'],"aspects such as: friendly colleagues, environment and work-place condition, sometimes, have even more impact on person's happiness and quality of life"
pe,sample,attack,"if children get good care and instructions from their parents, they can take advantages of the work to learn valuable things and avoid going in a wrong way",['attack'],"if children get good care and instructions from their parents, they can take advantages of the work to learn valuable things and avoid going in a wrong way"
pe,sample,attack,those difficulties will turn into valuable experiences in the following steps of life,['attack'],those difficulties will turn into valuable experiences in the following steps of life
pe,sample,attack,"it is unrealistic to pursuit of this high standard of life in many developing countries, in which the basic housing supply has still been a huge problem with plenty of lower income family have squeezed in a small tight room",['attack'],"it is unrealistic to pursuit of this high standard of life in many developing countries, in which the basic housing supply has still been a huge problem with plenty of lower income family have squeezed in a small tight room"
pe,sample,attack,even though freedom to express ideas can bring some negative effects,['attack'],even though freedom to express ideas can bring some negative effects
pe,sample,attack,"In the earlier periods, it was not easy to find a teacher to learn a foreign languge",['attack'],"In the earlier periods, it was not easy to find a teacher to learn a foreign languge"
pe,sample,attack,competitive children will be far more clever and faster than the co-operative child in an initial level,['attack'],competitive children will be far more clever and faster than the co-operative child in an initial level
pe,sample,attack,people may not get a spiritual experience,['attack'],people may not get a spiritual experience
pe,sample,attack,what if one finally find out him or her has the talent in other filed,['attack'],what if one finally find out him or her has the talent in other filed
pe,sample,attack,higher education take a lot of money and a lot of time,['attack'],higher education take a lot of money and a lot of time
pe,sample,attack,with consistent work soon enough we'll be able to bring up our speed in completion of work,['attack'],with consistent work soon enough we'll be able to bring up our speed in completion of work
pe,sample,attack,effective cooperation can make things easier and faster,['attack'],effective cooperation can make things easier and faster
pe,sample,attack,local residents benefits from an increasing number of jobs which are provided by those factories,['attack'],local residents benefits from an increasing number of jobs which are provided by those factories
pe,sample,attack,"farmland, housing and industry will occupy the land used for endangered animals",['attack'],"farmland, housing and industry will occupy the land used for endangered animals"
pe,sample,attack,The only disadvantage is the noisiness of the competitions,['attack'],The only disadvantage is the noisiness of the competitions
pe,sample,attack,they are humans and their lives need to be valued,['attack'],they are humans and their lives need to be valued
pe,sample,attack,this won't be a problem at all,['attack'],this won't be a problem at all
pe,sample,attack,"with the development of technology, increasingly more young people become obsessed with high-tech products",['attack'],"with the development of technology, increasingly more young people become obsessed with high-tech products"
pe,sample,attack,"it is a limp opposition to the remarkable advantages of technology, and technology is not the root cause of the gap",['attack'],"it is a limp opposition to the remarkable advantages of technology, and technology is not the root cause of the gap"
pe,sample,attack,"with exhaust fumes and acid rain, we do not have the energy and enthusiasm to appreciate the paintings or photographs",['attack'],"with exhaust fumes and acid rain, we do not have the energy and enthusiasm to appreciate the paintings or photographs"
pe,sample,attack,"Technology and its advance, to some degrees, have influenced the educational industry positively",['attack'],"Technology and its advance, to some degrees, have influenced the educational industry positively"
pe,sample,attack,"they provide flexibility, which is important in nearly all areas of life",['attack'],"they provide flexibility, which is important in nearly all areas of life"
pe,sample,attack,this argument is invalid,['attack'],this argument is invalid
pe,sample,attack,"if you aren't extremely dedicated or have good time management skills, it may be very difficult to complete a course at home",['attack'],"if you aren't extremely dedicated or have good time management skills, it may be very difficult to complete a course at home"
pe,sample,attack,It is useless to hire a super famous teacher to teach those who behaviors as sluggards,['attack'],It is useless to hire a super famous teacher to teach those who behaviors as sluggards
pe,sample,attack,moderate students should have a chance to try,['attack'],moderate students should have a chance to try
pe,sample,attack,"In the beginning, it can be tough to fit in this new place and find any opportunity",['attack'],"In the beginning, it can be tough to fit in this new place and find any opportunity"
pe,sample,attack,i did part time job in my high school and it did not hurt my academic result,['attack'],i did part time job in my high school and it did not hurt my academic result
pe,sample,attack,the schools are established for students,['attack'],the schools are established for students
pe,sample,attack,It is not for which Ronaldo is more fortune than me,['attack'],It is not for which Ronaldo is more fortune than me
pe,sample,attack,a meal without meat can lead to a lack of protein intake,['attack'],a meal without meat can lead to a lack of protein intake
pe,sample,attack,Many governments believe that space exploration is an activity that wastes the budget,['attack'],Many governments believe that space exploration is an activity that wastes the budget
pe,sample,attack,"advertising always makes the products so tempting, regardless of whether they might bring negative effects on the human body",['attack'],"advertising always makes the products so tempting, regardless of whether they might bring negative effects on the human body"
pe,sample,attack,the crimes done by criminals should be brought to light and the public should be aware of it so that they will not become a victim as well,['attack'],the crimes done by criminals should be brought to light and the public should be aware of it so that they will not become a victim as well
pe,sample,attack,it will not be such pressure on children,['attack'],it will not be such pressure on children
abstrct,sample,support,Patients in the ghrelin group had fewer adverse events during chemotherapy related to anorexia and nausea than patients in the control group.,['support'],Short-term administration of exogenous ghrelin at the start of cisplatin-based chemotherapy stimulated food intake and minimized adverse events.
abstrct,sample,support,"A significantly lower serum interleukin-6 level was found in comparing glutamine-enriched with standard TPN (P = 0.01),",['support'],Our present study shows that glutamine-enriched TPN may be beneficial in improving the inflammatory status and decreasing the infectious morbidity in postoperative GI cancer patients.
abstrct,sample,support,"The two schedules are equivalent in terms of overall response rate, median time-to-progression and overall survival.",['support'],"The combination of VNR on day 1-8 plus CDDP every 3 weeks may be considered as a reference regimen for the treatment of patients with advanced disease and those who deserve a postoperative therapy, and for future studies."
abstrct,sample,support,Supervised group exercise provided functional and psychological benefit after a 12 week intervention and six months later.,['support'],Clinicians should encourage activity for their patients.
abstrct,sample,support,Tamoxifen-naïve patients had a higher mean ES (endocrine symptoms subscale) score at entry versus those having extended therapy (66.0 vs. 61.9; P = 0.001).,['support'],There were no significant differences in QOL scores between the two drugs.
abstrct,sample,support,"A similar difference was seen in the treating physician's evaluation of whether the patient was subjectively improved or continued to do well for at least 4 months (17/31, 55% versus 6/30, 20%, P < 0.01).",['support'],"More patients in the chemotherapy group (45%, 14/31) had an improved or prolonged high quality of life for a minimum period of 4 months compared to those in the best supportive care group (20%, 6/30, P < 0.05)."
abstrct,sample,support,We found no difference in severe ARSR between the groups at any point of assessment.,['support'],No differences in ARSR between patients randomised to Calendula or Essex cream was found.
abstrct,sample,support,"Analyses of variance of postintervention fatigue showed statistically significant group effects on general fatigue, on physical and mental fatigue, and on reduced activation but not on reduced motivation.",['support'],"Physical training was equally effective as or more effective than physical training combined with cognitive-behavioral therapy in reducing cancer-related fatigue,"
abstrct,sample,support,Overall survival was longer with DCF versus CF (23% risk reduction; log-rank P = .02).,['support'],"Adding docetaxel to CF significantly improved TTP, survival, and response rate in gastric cancer patients, but resulted in some increase in toxicity."
abstrct,sample,support,"Overall, patients treated with either docetaxel-containing regimen had better QoL than VC-treated patients (LCSS global item ""QoL today"": P=0.064 for DC and P=0.016 for DCb versus VC; EQ-5D global item ""health state today"": P=0.016 for DC and P<0.001 for DCb versus VC).",['support'],"DCb and DC were superior to VC in all QoL outcomes assessed except for the difference between DC and VC in LCSS ""QoL today"", which was not significant."
abstrct,sample,support,"To our knowledge, this study provided novel evidence that MBSR can help alleviate long-term emotional and physical adverse effects of medical treatments, including endocrine treatments.",['support'],MBSR is recommended to support survivors of breast cancer.
abstrct,sample,support,No significant difference in time to progression or survival was found between the two arms.,['support'],"Patients treated with single-agent E followed by single-agent M had similar survival, but less treatment-related toxicity and better QOL as compared with those treated with CEF followed by MV."
abstrct,sample,support,"A decrease in transfusion requirement did not reach significance over all 3 months, but there was a significant reduction in the percentage of patients transfused in the second and third months (27% r-HuEPO vs. 56% placebo) and a trend toward reduction in the mean total number of units transfused (1.20 units r-HuEPO vs. 2.02 units placebo), suggesting a lag of 1 month before r-HuEPO can affect the transfusion requirement.",['support'],"After 1 month of r-HuEPO, there is also a reduction in transfusion requirement."
abstrct,sample,support,Quality of life was similar between treatment arms in Asian patients.,['support'],Adding EVE to EXE provided substantial clinical benefit in both Asian and non-Asian patients with similar safety profiles.
abstrct,sample,support,"Despite some missing data on QoL scores, QoL ranking was available on 227 (95%) of patients with significantly higher QoL ranking associated with MA (P = 0.002).",['support'],"It improves appetite, mood and overall quality of life in these patients,"
abstrct,sample,support,"Increased appetite was reported by 73%, 58%, and 69% of patients receiving CE, THC, or PL, respectively.",['support'],"No differences in patients' appetite or QOL were found either between CE, THC, and PL or between CE and THC at the dosages investigated."
abstrct,sample,support,"The clinical efficacy of pemetrexed and gemcitabine combined with cisplatin for the treatment of previously untreated advanced NSCLC was roughly the same,",['support'],"Therefore, pemetrexed combined with cisplatin can be used as a safe and effective drug for clinical first-line treatment for previously untreated NSCLC."
abstrct,sample,support,Analgesic cost and hospital stay were significantly lower in treated groups than in the placebo group.,['support'],"CRO is effective, safe, and cost-effective in the control of postoperative pain after transarterial chemoembolization for patients with inoperable liver cancer."
abstrct,sample,support,"PF change scores were -3.9 for cetuximab and -8.6 for BSC (P = .046) at 8 weeks and were -5.9 and -12.5 for cetuximab and BSC, respectively, (P = .027) at 16 weeks.",['support'],"Cetuximab offers important HRQL and survival benefits for pretreated patients with advanced, wild-type KRAS CRC."
abstrct,sample,support,"Median investigator-assessed PFS was 8.3 months (95% CI 6.7-9.2) with axitinib and 5·7 months (4.7-6.5) with sorafenib (HR 0.656, 95% CI 0.552-0.779; one-sided p<0.0001).",['support'],investigator-assessed PFS remained longer in the axitinib group compared with the sorafenib group.
abstrct,sample,support,The nutrition intervention group had a higher mean total energy (P=0.029) and protein intake (P<0.001) compared with the standard practice group.,['support'],Intensive nutrition intervention following the ADA MNT protocol results in improved dietary intake compared with standard practice and seems to beneficially impact nutrition-related outcomes previously observed in oncology outpatients receiving radiotherapy.
abstrct,sample,support,"Patients treated with EBRT reported lower scores on the SF-36 scales ""physical functioning"" (P = .004) and ""role-physical"" (P = .003).",['support'],"EBRT for endometrial cancer is associated with long-term urinary and bowel symptoms and lower physical and role-physical functioning, even 15 years after treatment."
abstrct,sample,support,"irritation increased when the IUS V35 was 95% (ρ=-0.37, p=0.02) and the EUS V265 was 24% (ρ=-0.32, p=0.04);",['support'],"Doses to the IUS and EUS on MRI/CT predicted worse urinary function, with greater bother, irritative symptoms, and urgency."
abstrct,sample,support,The mean hematocrit increased by 6.0 percentage points in the r-HuEPO group versus 1.3 in the placebo group.,['support'],"r-HuEPO is safe and can cause a significant improvement in the hematocrit and quality of life of anemic cancer patients receiving myelosuppressive, cisplatin-based chemotherapy."
abstrct,sample,support,"In QoL questionnaires, more patients receiving PE reported being upset by hair loss (p = 0.004) and impaired cognitive functioning (p = 0.04).",['support'],GC is as effective as PE in terms of overall survival and progression-free survival and has a toxicity profile more acceptable to patients.
abstrct,sample,support,Satisfaction with emotional support was negatively correlated with depression/dejection (p<0.05) and anger/hostility (p<0.05) and positively correlated with social and family well-being (p<0.001) 6 months post intervention.,['support'],EW was associated with a higher level of satisfaction with emotional support compared with controls.
abstrct,sample,support,Grades 3 to 4 hematologic toxicity and fatigue occurred more frequently in the TCG arm.,['support'],quality-of-life analysis during chemotherapy showed a disadvantage in the TCG arm.
abstrct,sample,support,"At 6 and 12 months, 55% and 39% of intervention patients had a 50% or greater reduction in depressive symptoms (SCL-20) from baseline compared to 34% and 20% of usual care participants (P = 0.003 and P = 0.029).",['support'],The IMPACT collaborative care program appears to be feasible and effective for depression among older cancer patients in diverse primary care settings.
abstrct,sample,support,"Compared with 1-year treatment in the treatment group, the 2-and 3-year psychological functions and the general symptoms scores decreased (P<0.05, P<0.01).",['support'],"FJD combined chemotherapy could effectively improve the QOL of solid tumor children patients, elevate their survival rate, and prolong their life spans."
abstrct,sample,support,"GEM-CAP significantly improved objective response rate (19.1% v 12.4%; P = .034) and progression-free survival (hazard ratio [HR], 0.78; 95% CI, 0.66 to 0.93; P = .004) and was associated with a trend toward improved OS (HR, 0.86; 95% CI, 0.72 to 1.02; P = .08) compared with GEM alone.",['support'],"On the basis of our trial and the meta-analysis, GEM-CAP should be considered as one of the standard first-line options in locally advanced and metastatic pancreatic cancer."
abstrct,sample,support,Patients who experienced more concentration and memory problems at T1 benefited more from CBT for fatigue and are indicators.,['support'],The implication is that CBT for fatigue should be offered to patients with cancer with the highest chance to benefit.
abstrct,sample,support,"In the gefitinib 250 mg/day, 500 mg/day, and methotrexate groups, respectively, median overall survival was 5.6, 6.0, and 6.7 months; ORRs (Response Evaluation Criteria in Solid Tumors) were 2.7%, 7.6% and 3.9%, with no statistically significant difference between either gefitinib arm and methotrexate.",['support'],"In patients with recurrent or metastatic SCCHN, while responses with gefitinib were seen, neither gefitinib 250 nor 500 mg/day improved overall survival compared with methotrexate."
abstrct,sample,support,"Amenorrhea 12 months after random assignment was significantly different between treatment groups: 69.8% for AC→T, 57.7% for TAC, and 37.9% for AT (P < .001).",['support'],"Amenorrhea rates differed significantly by treatment arm, with the AT arm having the lowest rate."
abstrct,sample,support,Occurrence of grade 3 and 4 diarrhea was higher in the FU24h + LV arm (22%) compared with the FU24h (6%) or FU + LV (9%) arms;,['support'],Global quality of life did not differ within the three arms.
abstrct,sample,support,"For the chemoradiation group, the mean QALM-24 was 7.1 (95% CI: 6.0, 9.0) months compared with the mean QALM-24 of 8.1 (95% CI: 7.0, 10.0) months for the no chemoradiation group.",['support'],Chemotherapy provided on average an additional 1.0 quality-adjusted life months within a restricted 2-year time period from the time of resection.
abstrct,sample,support,"For patients with ER-negative tumors, the addition of CMF statistically significantly improved DFS (5-year DFS = 84% for CMF-->tamoxifen versus 69% for tamoxifen alone; difference = 15%; 95% confidence interval [CI] = 6% to 24%; risk ratio [RR] = 0.52; 95% CI = 0.34 to 0.79; P =.003) and OS (5-year OS = 89% for CMF-->tamoxifen versus 81% for tamoxifen alone; difference = 8%; 95% CI = 0% to 16%; RR = 0.51; 95% CI = 0.30 to 0.87; P =.01).",['support'],"Postmenopausal patients with lymph node-negative breast cancer benefited substantially from adjuvant chemotherapy if their cancer was ER-negative (i.e., endocrine-nonresponsive)."
abstrct,sample,support,the rate of efficacy was significantly higher in the combined treatment group (85.36 %; p < 0.05 vs. control group).,['support'],"Intraperitoneal perfusion of verapamil enhances the efficacy of chemotherapy drugs, prolongs survival, and improves the quality of life."
abstrct,sample,support,Tumor response rates were comparable between treatment arms (10.2% v 8.2%).,['support'],These results support the efficacy and safety of an every-2-weeks treatment with gemcitabine plus cisplatin.
abstrct,sample,support,"No significant benefits in analgesia were found in the global pain intensity of the previous week of treatment, the least pain intensity or the pain evaluated just after a week of treatment, at the moment of the visit, when amitriptyline was compared with placebo.",['support'],The analgesic effects of amitriptyline were slight and associated with adverse effects.
abstrct,sample,support,Breast RT is tolerated well by most older breast cancer patients without impairing their overall health-related quality of life (HRQoL).,['support'],our results show that the addition of RT does not impair overall quality of life.
abstrct,sample,support,"Two years survival was 7.8, 6.4 and 13.1% for the BSC, IEP and MVP regimens, respectively.",['support'],combination chemotherapy improves the quality of life as well as prolonging the survival of patients with advanced NSCLC.
abstrct,sample,support,Subgroup analyses suggested a dose-dependent treatment effect.,['support'],The effect appeared to be dose-dependent.
abstrct,sample,support,"The most common treatment-related adverse events were chills (25% of patients), asthenia (23%), fever (22%), pain (18%), and nausea (14%).",['support'],Single-agent trastuzumab is active and well tolerated as first-line treatment of women with metastatic breast cancer with HER2 3+ overexpression by IHC or gene amplification by FISH.
abstrct,sample,support,"No significant between-group differences were observed for fatigue, quality of life or psychological distress.",['support'],"This initial evidence involving a small sample size suggests that appropriately designed and supervised resistance exercise may be safe and well tolerated by prostate cancer patients with bone metastatic disease and can lead to improvements in physical function, physical activity levels and lean mass."
abstrct,sample,support,"There was a significant decline in TOI scores for the IFN treatment arm compared with preservation of baseline TOI scores in the imatinib arm (P <.001, ITT).",['support'],Imatinib offers clear QoL advantages over IFN as first-line treatment of chronic-phase CML.
abstrct,sample,support,"In the 89 CT-arm patients, 18 ORs (20.2%) (three complete responders [CRs] and 15 partial responders [PRs]) were observed according to World Health Organization criteria.",['support'],"The addition of low-dose immunotherapy did not produce a statistically significant advantage in OS, time to progression, or OR."
abstrct,sample,support,"The venlafaxine group experienced 18 incidences of adverse effects (eg, nausea, dry mouth, dizziness, anxiety), whereas the acupuncture group experienced no negative adverse effects.",['support'],"It is a safe, effective and durable treatment for vasomotor symptoms secondary to long-term antiestrogen hormone use in patients with breast cancer."
abstrct,sample,support,"Arm symptoms were significantly more bothersome for SNAD compared with SNR patients at 6 months (mean, 4.8 v 3.0; P < .001) and at 12 months (3.6 v 2.5; P = .006).",['support'],Arm morbidity was greater with SNAD than with SNR.
abstrct,sample,support,"The disease-related symptoms improved with time,",['support'],The two chemotherapy regimen showed a similar effectiveness in symptom palliation when evaluated with C30 addendum of EORTC QOL questionnaire.
abstrct,sample,support,"When group 1 with group 2 were compared, numeric rating scale scores were significantly lower in group 1 than in group 2 during the period of T(0-12) (P < .001)",['support'],"CRO is effective, safe, and cost-effective in the control of postoperative pain after transarterial chemoembolization for patients with inoperable liver cancer."
abstrct,sample,support,"The difference in the mean General Fatigue score, between those who received the intervention and those who did not, was -3.11 (95% CI, -3.97 to -2.25; P < .001).",['support'],Acupuncture is an effective intervention for managing the symptom of CRF and improving patients' quality of life.
abstrct,sample,support,"No liver cancers or increase in colon, rectal, ovarian, or other tumors was observed in the tamoxifen group.",['support'],"Despite side effects resulting from administration of tamoxifen, its use as a breast cancer preventive agent is appropriate in many women at increased risk for the disease."
abstrct,sample,support,Eight (73%) of 11 patients crossing over from 6.5 mg/m(2) per day to higher doses subsequently responded.,['support'],Bexarotene (Targretin capsules) (the first retinoid X receptor-selective rexinoid) was well tolerated and effective as an oral treatment for 15 (54%) of 28 patients with refractory or persistent early-stage cutaneous T-cell lymphoma at doses of 300 mg/m(2) per day.
abstrct,sample,support,"The principal toxicity was diarrhea, with 12% in the postoperative radiochemotherapy arm and 10% in the preoperative radiochemotherapy arm having Grade-3, and 1% in either arm having Grade-4 diarrhea.",['support'],neoadjuvant radiochemotherapy is well tolerated and bears no higher risk for postoperative morbidity.
abstrct,sample,support,"The primary outcome was significantly lower in the intervention arm (adjusted difference -16.8, 95% CI -28.34 to -5.3; P = 0.006).",['support'],This intervention significantly reduced the unmet needs of cancer survivors and it is likely that it is cost-effective.
abstrct,sample,support,No significant differences in decline in fatigue were found between the PT+CBT and PT groups.,['support'],"Physical training was equally effective as or more effective than physical training combined with cognitive-behavioral therapy in reducing cancer-related fatigue,"
abstrct,sample,support,"ORR, stable disease, median OS, were 4.4% versus 5.5%, 36.0% versus 39.6%, 6.7 versus 7.2 months (HR, 0.973; 95% CI, 0.805 to 1.176), respectively.",['support'],This noninferiority phase III study showed similar efficacy end points for vinflunine and docetaxel.
abstrct,sample,support,"Beyond tumor and nodal stage, Karnofsky performance status, primary site, cigarette use, use of concurrent chemotherapy, and altered fractionation schedules, the FACT-H&amp;N score was independently predictive of LRC (but not OS), with p = 0.0038.",['support'],The results of this study have demonstrated the importance of baseline HRQOL as a significant and independent predictor of LRC in patients with locally advanced head and neck cancer.
abstrct,sample,support,The SF-6D score decreased to 21·2 ± 2·5 in the oxycodone/paracetamol group at the end of the phase (P = 0·001).,['support'],"Patients with bone-cancer pain, already on opioids, obtain clinically important, additional pain-control, with regular oxycodone/paracetamol dosing."
abstrct,sample,support,"The effects of ATP on body weight, muscle strength, and albumin concentration were especially marked in cachectic patients (P =.0002, P =.0001, and P =. 0001, respectively, for ATP versus no ATP).",['support'],"ATP has beneficial effects on weight, muscle strength, and QOL in patients with advanced NSCLC."
abstrct,sample,support,"Patients with wild-type status who received cetuximab experienced improved GHS at 8 weeks, whereas patients who received BSC alone deteriorated (3.2 v -7.7; P = .002).",['support'],"Cetuximab offers important HRQL and survival benefits for pretreated patients with advanced, wild-type KRAS CRC."
abstrct,sample,support,enteral feeding reduced quality of life most extensively.,['support'],"After major surgery, specialized supportive enteral and parenteral nutrition are not superior to oral nutrition only when guided by a dietitian."
abstrct,sample,support,"The median PFS was 34 and 33.7 months for CEF and EC, respectively (P =.68), and the 5-year survival rate was 53% and 51% for CEF and EC, respectively (P =.94).",['support'],Dose-intensified EC does not provide a measurable therapeutic benefit over CEF as neoadjuvant chemotherapy for unselected locally advanced breast cancer patients.
abstrct,sample,support,"With a median follow-up of 8 years, the 5-year overall survival was 68% (+/- 3% standard error of the mean (SEM) and the 5-year event-free survival 53% (+/- 4% SEM).",['support'],"Compared with the results obtained in the previous SIOP study, treatment in MMT84 was based on response to initial chemotherapy and, despite an overall reduction of the use of local therapy, significantly improved survival for patients with non-metastatic disease."
abstrct,sample,support,"Improvement was noted in physical capacity: estimated mean difference between groups for maximum oxygen consumption was 0.16 l/min (95% CI 0.1 to 0.2, P<0.0001) and for muscular strength (leg press) was 29.7 kg (23.4 to 34.9, P<0.0001).",['support'],"The intervention reduced fatigue and improved vitality, aerobic capacity, muscular strength, and physical and functional activity, and emotional wellbeing,"
abstrct,sample,support,"cryoablation was associated with more acute urinary dysfunction (mean PCI urinary function cryoablation=69.4; mean EBRT=90.7; P<.001), which resolved over time.",['support'],"In this randomized trial, no long-term QOL advantage for either treatment was apparent"
abstrct,sample,support,"Dignity therapy was significantly better than client-centred care in improving spiritual wellbeing (χ(2)=10·35; p=0·006), and was significantly better than standard palliative care in terms of lessening sadness or depression (χ(2)=9·38; p=0·009);",['support'],its benefits in terms of self-reported end-of-life experiences support its clinical application for patients nearing death.
abstrct,sample,support,"Although addition of radiotherapy to endocrine treatment significantly increased some treatment-related symptoms, none were serious.",['support'],the increase of symptoms seems acceptable and has little extra effect on quality of life after 4 years compared with endocrine treatment alone.
abstrct,sample,support,No significant difference in any of these measures was noted in the control group.,['support'],"This study demonstrates that a brief, predominantly group-based resilience training intervention is feasible in patients with previous breast cancer; also, it may be efficacious."
abstrct,sample,support,Pairwise comparisons revealed significant differences between groups at 90 days (P = .002),['support'],"Sleep quality differed over 1 years time (F [4,162] = 7.7, P < .001; by group, F [1,173] = 4.8, P = .029; and over time by group, F [4,162] = 3.3, P = .013)."
abstrct,sample,support,No difference in the 1-year survival rate (70% vs. 66%) or median survival time (19.4 vs. 17.4 months) between the surgery and RT arms.,['support'],local control and survival were essentially equal between the surgical and RT arms.
abstrct,sample,support,"The total short-term remission rate, the improvement rate of clinical syndrome and quality of life was 50.0%, 70.0% and 76.7% in the treatment group, and 43.3%, 46.7% and 50.0% in the control group, respectively, showing significant difference between the two groups (all P < 0.05).",['support'],"For treatment of advanced breast cancer, SFI can alleviate the bone marrow inhibition caused by chemotherapy, improve clinical symptoms and quality of life and prolong the survival period by regulating cellular immune function of patients, so as to enhance the therapeutic effect of chemotherapy."
